year,Canada,Germany,Luxembourg,United Kingdom,United States
1985,25860.67,25030.67,28867.00,15661.00,30356.33
1986,26156.50,25437.50,29694.25,16123.75,30595.25
1987,26424.60,25759.80,30369.40,16446.20,30811.20
1988,26839.20,26582.80,32013.60,17122.40,31086.20
1989,26815.80,26749.40,33137.40,17692.60,31101.80
1990,26788.20,26889.80,34407.20,18027.00,30867.40
1991,26511.00,26835.40,35349.60,18078.60,30576.40
1992,26227.40,26610.00,35815.60,18214.80,30291.80
1993,25974.80,26154.40,36063.20,18236.20,30327.20
1994,25693.00,26171.00,36265.80,18389.60,30484.20
1995,25387.80,25997.80,36223.00,18764.40,30793.60
1996,25370.40,26006.60,36110.00,19339.00,31451.20
1997,25379.20,26207.60,36591.60,19880.40,32190.20
1998,25507.60,26544.20,36947.20,20623.00,32843.60
1999,26118.20,26700.40,37475.40,21388.40,33378.00
2000,26749.60,27095.40,38201.40,22096.00,33814.00
2001,27212.20,27296.20,39274.20,22735.60,34033.20
2002,27636.80,27399.80,40181.80,23399.40,34018.80
2003,28156.00,27283.20,41056.60,23921.40,33990.80
2004,28529.00,27315.00,41794.80,24324.60,34050.40
2005,29079.80,27249.60,42277.40,24769.60,34142.00
2006,29736.00,27211.60,42426.80,25121.00,33993.40
2007,30329.60,27253.60,42602.60,25287.20,33979.80
2008,30830.00,27427.40,42606.60,25372.60,33863.20
2009,31351.20,27501.00,42495.80,25273.80,33631.60
2010,31735.00,27504.80,42133.60,25087.20,33384.00
2011,32086.20,27543.20,41866.40,24951.40,33310.40
2012,32468.20,27563.20,41586.60,25004.60,33093.60
2013,32882.20,27714.60,41568.80,25139.80,33195.40
2014,33165.40,28040.40,42158.60,25463.00,33832.60
2015,33528.40,28490.00,42408.20,25821.00,34482.00
2016,33895.00,29119.60,42926.40,26148.00,35441.80
2017,34306.00,29807.60,43158.60,26554.40,36928.60
2018,34982.40,30613.20,44092.00,26770.20,38541.00
2019,35618.00,31256.60,44894.40,27067.80,39746.40
2020,35927.75,31675.75,45581.50,27203.50,40566.00
2021,36319.00,32039.67,46212.33,27420.00,41445.00

# Metadata
