countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,,,,,,,,,,28329.833333333332,28090.375,27856.555555555555,27774.222222222223,27894.0,28201.296296296296,28491.185185185186,28895.74074074074,29405.03703703704,29884.925925925923,30184.148148148146,30323.666666666668,30663.777777777777,31313.444444444445,32026.11111111111,32496.0,32541.88888888889,32410.444444444445,32272.555555555555,32269.333333333332,32462.444444444445,32754.333333333332,33117.444444444445,33370.444444444445,33617.77777777778,33867.333333333336,34071.0,34191.5
Belgium,20375.888888888887,20544.666666666668,20765.796296296296,21067.518518518522,21300.520833333336,21610.714285714286,22158.75,22890.0,23727.0,24397.944444444445,25040.777777777777,25329.537037037036,25514.37037037037,25845.425925925927,26285.666666666668,26647.0,26741.333333333336,26763.185185185182,26875.740740740745,27281.518518518522,27819.88888888889,28425.11111111111,28924.11111111111,29343.222222222223,29529.222222222223,29636.333333333332,29643.0,29768.444444444445,29882.666666666668,30055.222222222223,30280.777777777777,30559.0,30987.333333333332,31490.0,32183.444444444445,32726.75,33243.166666666664
Canada,25646.333333333332,26035.0,26448.333333333332,26908.777777777777,27033.555555555555,26862.555555555555,26434.444444444445,26141.11111111111,25947.666666666668,25800.333333333332,25489.777777777777,25177.777777777777,25164.555555555555,25504.11111111111,26108.0,26733.11111111111,27301.555555555555,27716.555555555555,28076.11111111111,28464.555555555555,29047.666666666668,29712.555555555555,30396.333333333332,30926.555555555555,31334.555555555555,31698.11111111111,32088.555555555555,32495.555555555555,32882.333333333336,33192.0,33524.0,33839.77777777778,34280.88888888889,34886.444444444445,35590.666666666664,36222.75,36566.5
Colombia,,,,,,,,,,,,,,,,,3634.1666666666665,3629.5,3681.1111111111113,3757.5555555555557,3898.777777777778,4046.1111111111113,4215.777777777777,4384.0,4586.666666666667,4830.444444444444,5105.888888888889,5373.333333333333,5609.222222222223,5787.555555555556,5897.444444444444,5941.888888888889,5934.0,5816.888888888889,5611.111111111111,5375.375,5227.833333333333
France,,,,,,21882.44444444445,21939.166666666664,21995.88888888889,,,,22900.666666666668,23062.375,23335.777777777777,23707.555555555555,24171.11111111111,24631.11111111111,25024.222222222223,25235.444444444445,25384.222222222223,25580.666666666668,25913.333333333332,26274.333333333332,26572.222222222223,26710.11111111111,26693.444444444445,26591.555555555555,26493.333333333332,26480.222222222223,26549.444444444445,26693.555555555555,26842.777777777777,26989.777777777777,27167.222222222223,27433.88888888889,27690.25,27903.666666666668
Germany,24728.666666666668,25261.0,25817.88888888889,26567.555555555555,26959.444444444445,27093.444444444445,26777.555555555555,26508.555555555555,26221.88888888889,26104.333333333332,25975.666666666668,25986.222222222223,26106.666666666668,26463.666666666668,26813.666666666668,27157.88888888889,27282.666666666668,27406.222222222223,27374.333333333332,27317.0,27189.222222222223,27169.88888888889,27248.88888888889,27399.222222222223,27542.444444444445,27588.333333333332,27534.555555555555,27487.333333333332,27614.666666666668,27969.777777777777,28496.0,29106.222222222223,29764.555555555555,30556.555555555555,31318.333333333332,31928.75,32226.5
Ireland,,,11901.333333333334,12081.0,12260.666666666666,,,,,15782.833333333334,16312.15625,17120.0,17971.84375,19212.428571428572,20886.875,22522.928571428572,23605.0,24222.88888888889,24929.333333333332,25682.777777777777,26546.555555555555,27116.0,26863.444444444445,25835.777777777777,24607.333333333332,23712.555555555555,23228.333333333332,23263.777777777777,23764.555555555555,24654.222222222223,25781.222222222223,26921.333333333332,28171.88888888889,29326.88888888889,30513.0,31372.75,32008.0
Israel,,12264.666666666666,12383.5,12502.333333333334,,,,14190.666666666666,14203.0,14215.333333333334,14258.5,14423.4375,14618.166666666666,14751.75,15038.0,15228.125,15211.5,14960.25,14988.444444444445,15205.444444444445,15695.444444444445,16224.444444444445,16716.777777777777,17096.222222222223,17354.11111111111,17685.11111111111,18185.11111111111,18917.11111111111,19746.0,20538.0,21341.0,22119.666666666668,22821.222222222223,23187.0,23189.11111111111,23045.125,22921.166666666668
Japan,,,,,,,,,,,,,,,,,,,,,,,,27013.833333333332,26761.25,26474.11111111111,25954.777777777777,25664.88888888889,25477.222222222223,25454.333333333332,25408.0,25309.222222222223,25215.222222222223,25189.666666666668,25251.375,25433.166666666668,
Luxembourg,28229.5,29342.75,30494.333333333332,32002.333333333332,33214.444444444445,34438.11111111111,35391.22222222222,36078.77777777778,36263.555555555555,36131.333333333336,36093.444444444445,36152.555555555555,36512.11111111111,36872.88888888889,37473.22222222222,38148.666666666664,39098.22222222222,40202.77777777778,41255.444444444445,41963.333333333336,42299.444444444445,42424.0,42577.0,42648.333333333336,42633.333333333336,42260.11111111111,41790.555555555555,41400.11111111111,41418.22222222222,41976.77777777778,42565.11111111111,43163.555555555555,43166.333333333336,43663.444444444445,44561.11111111111,45984.75,47170.333333333336
