year,Canada,Germany,Luxembourg,United Kingdom,United States
1985,25646.33,24728.67,28229.50,15426.33,29999.33
1986,26035.00,25261.00,29342.75,15893.88,30471.12
1987,26448.33,25817.89,30494.33,16459.33,30953.22
1988,26908.78,26567.56,32002.33,17192.33,31241.78
1989,27033.56,26959.44,33214.44,17753.22,31205.56
1990,26862.56,27093.44,34438.11,18117.67,30863.00
1991,26434.44,26777.56,35391.22,18200.44,30514.33
1992,26141.11,26508.56,36078.78,18158.89,30251.22
1993,25947.67,26221.89,36263.56,18129.89,30208.44
1994,25800.33,26104.33,36131.33,18332.33,30404.22
1995,25489.78,25975.67,36093.44,18712.00,30790.44
1996,25177.78,25986.22,36152.56,19291.22,31366.33
1997,25164.56,26106.67,36512.11,19905.11,32102.22
1998,25504.11,26463.67,36872.89,20603.33,32919.56
1999,26108.00,26813.67,37473.22,21331.67,33561.33
2000,26733.11,27157.89,38148.67,22114.00,33901.89
2001,27301.56,27282.67,39098.22,22834.33,33999.78
2002,27716.56,27406.22,40202.78,23426.89,34021.22
2003,28076.11,27374.33,41255.44,23908.33,34034.67
2004,28464.56,27317.00,41963.33,24345.78,34025.11
2005,29047.67,27189.22,42299.44,24772.11,34078.11
2006,29712.56,27169.89,42424.00,25144.78,34079.22
2007,30396.33,27248.89,42577.00,25389.33,34051.89
2008,30926.56,27399.22,42648.33,25444.56,33842.00
2009,31334.56,27542.44,42633.33,25300.44,33630.00
2010,31698.11,27588.33,42260.11,25080.89,33391.22
2011,32088.56,27534.56,41790.56,24884.56,33240.11
2012,32495.56,27487.33,41400.11,24894.67,33114.89
2013,32882.33,27614.67,41418.22,25090.22,33131.22
2014,33192.00,27969.78,41976.78,25464.33,33516.44
2015,33524.00,28496.00,42565.11,25847.89,34347.89
2016,33839.78,29106.22,43163.56,26182.44,35549.56
2017,34280.89,29764.56,43166.33,26514.67,36854.22
2018,34886.44,30556.56,43663.44,26784.00,38354.22
2019,35590.67,31318.33,44561.11,27109.00,39882.89
2020,36222.75,31928.75,45984.75,27252.25,41071.25
2021,36566.50,32226.50,47170.33,27448.67,41786.67

# Metadata
