country,iso2_code,year,median_dhi,mima5,pl,gini,H,n_obs,n_poor,total_pop,n_poor_pop
Canada,ca,2000,26563.6144641082,26749.7156102598,13374.8578051299,0.317,0.124,72850,8719,29988472.9864,3719767.9149
Canada,ca,2001,27599.1703818728,27212.0274048585,13606.0137024292,0.318,0.119,74398,8184,30321453.0352,3600873.5626
Canada,ca,2002,27891.1217970782,27636.5724163704,13818.2862081852,0.317,0.124,70639,8084,30610997.0179,3796300.4614
Canada,ca,2003,27882.9914846872,28155.6183366765,14077.8091683382,0.318,0.132,71418,8519,30893154.9865,4072306.2416
Canada,ca,2004,28245.9639541058,28528.5412005076,14264.2706002538,0.32,0.133,68542,8153,31174918.9842,4154603.6388
Canada,ca,2005,29158.8440656385,29079.3839979506,14539.6919989753,0.318,0.128,66010,7730,31516412.991,4025579.1693
Canada,ca,2006,29463.7847010282,29735.8704255756,14867.9352127878,0.318,0.125,66646,7440,31853379.9989,3983434.4947
Canada,ca,2007,30645.3357842935,30329.4527797332,15164.7263898666,0.316,0.117,64783,6778,32194011.0156,3757800.1429
Canada,ca,2008,31165.4236228118,30830.0546021777,15415.0273010889,0.321,0.123,60898,6183,32567047.0113,4021143.3165
Canada,ca,2009,31213.8757248941,31350.9867451027,15675.4933725513,0.321,0.129,62116,6454,32970037.997,4260728.5998
Canada,ca,2010,31661.853177861,31734.6737965698,15867.3368982849,0.318,0.127,60362,6164,33324460.007,4218325.4375
Canada,ca,2011,32068.4454156531,32085.8583977142,16042.9291988571,0.313,0.122,57836,5783,33666426.99,4112912.3574
Canada,ca,2012,32563.7710416291,32467.8922032693,16233.9461016347,0.317,0.132,57540,6899,33682117.2013,4462566.6787
Canada,ca,2013,32921.3466285338,32881.9822120554,16440.9911060277,0.321,0.136,54483,6442,34017360.8562,4615945.2496
Canada,ca,2014,33124.0447526698,33165.4906454797,16582.7453227398,0.312,0.127,55552,6415,34432065.1795,4370144.2154
Canada,ca,2015,33732.3032217915,33528.5951493474,16764.2975746737,0.319,0.139,59730,7597,34747526.6844,4838823.951
Canada,ca,2016,33485.9875827743,33895.1788669821,16947.5894334911,0.308,0.127,62149,7419,35158296.4989,4477753.6356
Canada,ca,2017,34379.2935609678,34306.0786670224,17153.0393335112,0.313,0.121,91884,10815,35555937.4501,4318985.1576
Canada,ca,2018,34754.2652167073,34982.3518590248,17491.1759295124,0.306,0.122,93936,11018,36065191.4712,4397600.2136
Canada,ca,2019,35178.5437528713,35617.9399249716,17808.9699624858,0.3,0.118,72352,8033,36481478.5343,4321773.3025
Canada,ca,2020,37113.6691818034,37113.6691818034,18556.8345909017,0.282,0.085,123135,10133,36696967.5905,3101576.6292
Canada,ca,2021,36663.9279125081,36663.9279125081,18331.9639562541,0.291,0.096,89511,8529,37110618.0299,3567593.5919
Germany,de,2000,27357.0728464496,26855.6921921438,13427.8460960719,0.257,0.071,28890,1756,82013041.37,5853380.84
Germany,de,2001,26796.6868574382,27074.719205874,13537.359602937,0.269,0.079,30261,1749,82204551.75,6462165.65
Germany,de,2002,27412.7532682559,27176.876232516,13588.438116258,0.271,0.077,28935,1674,82285261.54,6325764.59
Germany,de,2003,27132.7367842473,27077.3209531715,13538.6604765858,0.269,0.08,28060,1673,82231105.31,6601863.6
Germany,de,2004,27185.1314061888,27098.7922986315,13549.3961493158,0.272,0.082,26824,1701,82170188.82,6755867.42
Germany,de,2005,26859.2964497275,27040.7418107569,13520.3709053784,0.288,0.094,28791,2134,82078800.35,7698065.52
Germany,de,2006,26904.0435847381,27001.6892047868,13500.8446023934,0.286,0.09,26737,1834,81951587.43,7338708.32
Germany,de,2007,27122.5008288827,27059.2647946908,13529.6323973454,0.288,0.087,24999,1667,81872974.45,7126043.98
Germany,de,2008,26937.473754397,27219.4765325628,13609.7382662814,0.286,0.094,23338,1672,81590346.03,7631560.34
Germany,de,2009,27473.0093557085,27294.4426837487,13647.2213418743,0.286,0.094,37581,3943,81356884.23,7646971.22
Germany,de,2010,27660.3551390879,27309.7202844373,13654.8601422186,0.288,0.09,44132,3884,79750508.51,7170871.65
Germany,de,2011,27278.8743406671,27375.0174355019,13687.5087177509,0.287,0.087,42526,3666,79839541.93,6957275.9
Germany,de,2012,27198.8888323257,27416.6491613647,13708.3245806823,0.29,0.094,47815,4462,80061579.73,7514728.55
