countries,decomposition,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,One person households,,,,,,,,,10.07,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Couples without children,,,,,,,,,7.96,,,,,17.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Couples with children,,,,,,,,,9.09,,,,,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Single parents,,,,,,,,,36.18,,,,,35.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Other family / non-family households,,,,,,,,,4.92,,,,,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,One person households,19.02,19.47,18.89,20.33,20.61,19.47,25.08,,23.88,22.0,,23.56,24.06,24.24,22.27,21.13,,20.49,20.1,21.28,22.32,20.49,19.79,21.06,20.4,20.56,,19.54,20.11,20.47,18.06,18.19,15.41,16.66,17.51,19.03,20.15,19.06,19.58,,
Brazil,Couples without children,8.98,11.05,17.54,19.17,16.8,18.17,18.48,,10.93,11.92,,14.7,15.55,16.15,14.4,13.92,,14.11,12.92,10.13,9.83,9.76,8.7,9.7,9.43,9.73,,9.53,9.6,10.14,11.76,9.76,9.02,9.22,9.7,10.81,11.52,10.74,11.19,,
Brazil,Couples with children,26.2,27.09,26.58,28.39,28.78,28.61,28.67,,29.96,28.25,,29.56,29.23,29.02,28.94,28.21,,28.71,27.55,29.06,29.4,27.99,28.62,28.79,28.06,28.21,,28.04,27.71,26.93,25.98,26.88,30.27,30.94,29.86,30.8,30.42,30.76,28.71,,
Brazil,Single parents,38.19,39.67,39.81,40.06,42.88,42.9,43.02,,41.67,43.73,,43.17,44.4,42.81,42.07,42.85,,45.53,43.11,44.96,45.39,42.41,42.06,45.74,45.95,48.17,,46.89,47.73,46.6,47.29,47.62,48.89,50.1,51.97,51.77,55.39,57.73,56.22,,
Brazil,Other family / non-family households,12.89,13.33,14.27,15.89,15.98,16.18,17.59,,17.08,16.92,,19.3,20.13,19.95,19.04,19.08,,17.79,17.05,16.69,17.85,15.98,16.04,16.18,15.52,15.73,,15.7,15.44,16.12,15.41,16.21,17.09,18.18,17.87,19.38,20.93,20.33,18.83,,
