countries,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,,4.6,,,4.92,,,,5.36,,,8.96,,8.13,,,8.11,,,9.49,8.39,9.21,10.13,9.35,9.47,9.88,10.1,9.66,10.07,9.68,9.18,9.91,9.71,10.37,8.17,8.11,7.09,7.57,,,
Brazil,21.34,22.29,21.88,23.35,23.62,23.97,24.25,,23.84,23.28,,24.9,25.19,24.01,23.57,23.0,,22.66,21.59,21.95,22.29,20.5,19.87,20.17,19.84,19.85,,19.01,18.62,18.51,17.92,18.45,19.77,20.79,20.57,20.9,16.93,20.05,19.22,,
Canada,14.7,13.76,12.2,12.09,12.03,11.33,12.11,11.98,12.02,12.23,11.79,11.9,12.28,12.16,12.35,11.98,12.26,12.27,12.71,12.88,13.0,12.87,12.17,12.15,12.69,12.8,12.55,12.2,13.36,13.69,12.66,14.14,12.18,12.23,12.0,11.47,8.45,9.61,,,
Taiwan,,,5.2,,,,,6.46,,,,8.61,,8.21,,,8.43,,,,,9.55,,10.19,,,11.83,,,10.72,,,9.93,10.66,10.51,10.71,10.23,10.79,,,
Denmark,,,,10.28,,,,,7.42,,,5.21,,,,,5.41,,,,5.64,,,6.34,,,6.32,,,5.67,,7.59,7.69,7.93,7.91,7.88,7.84,7.79,7.9,,
France,7.71,,,,,,7.0,,,,,,8.76,8.72,8.2,8.29,8.26,8.09,7.92,8.12,7.96,8.35,8.3,8.35,8.38,8.77,9.04,9.11,9.29,8.82,9.04,8.98,9.16,8.98,9.25,9.21,8.38,9.37,9.17,,
Germany,7.7,6.95,6.62,7.11,6.94,5.96,6.9,7.84,7.66,6.65,7.99,7.43,7.11,6.54,6.71,7.2,7.39,7.44,7.89,7.99,8.02,9.03,8.83,8.44,8.85,9.24,9.17,8.48,9.11,9.11,9.56,9.8,9.81,10.51,10.27,11.16,11.5,11.65,12.5,,
Israel,,,11.73,,,,,,10.2,,,,,13.49,,,,15.59,16.84,17.64,19.65,19.36,19.69,18.85,18.89,19.77,20.14,19.61,19.13,18.25,19.27,19.83,18.72,18.61,17.44,18.12,17.8,18.2,,,
Luxembourg,,5.57,6.27,5.01,4.93,4.6,4.51,4.59,4.96,3.8,6.72,5.75,6.98,6.49,6.3,6.47,6.07,5.73,6.12,8.04,7.41,8.22,6.94,6.85,8.07,7.75,6.36,7.4,8.09,8.02,7.46,9.46,9.31,9.63,10.17,9.78,8.37,9.04,8.03,8.8,
Mexico,18.65,,,,,18.78,,,18.91,,20.82,,19.38,,22.02,,21.37,,19.8,,18.41,18.87,17.17,,20.04,,19.06,,19.1,,17.11,,16.87,,16.29,,16.66,,15.21,,
Netherlands,,,,4.05,,,6.73,,,8.35,,,,,,5.01,,,,,6.34,5.89,5.73,5.18,5.71,5.49,5.19,5.94,5.67,6.16,5.96,6.91,7.52,7.64,7.36,7.71,8.65,9.12,,,
Norway,,,7.33,,,,,6.62,,,,6.97,,,,,6.53,,,,7.12,,,7.69,,,7.63,,,7.88,,,8.19,,,8.41,8.44,7.91,8.1,,
Poland,,,9.74,,,,,,5.71,,,11.54,,,,8.82,,,,,10.68,10.22,9.7,9.0,9.34,9.8,9.36,9.79,10.04,10.13,9.87,9.88,8.17,7.19,7.59,8.22,9.3,9.92,10.17,9.96,
Spain,,10.22,,,,,10.01,,,12.98,12.57,11.75,14.2,13.11,14.11,13.73,13.66,,,,14.91,15.35,13.72,14.1,14.29,14.92,13.92,14.41,14.19,15.74,15.25,15.42,15.73,14.65,14.04,14.47,14.89,14.14,13.5,,
Sweden,,,,6.71,,,,,6.68,,,6.59,,,,,5.76,6.07,5.99,5.35,5.75,6.04,6.56,8.09,8.8,9.37,9.81,10.12,9.65,9.96,10.03,9.7,9.71,10.42,10.16,9.91,9.5,9.87,,,
United Kingdom,5.11,5.91,6.95,9.19,12.0,11.85,14.05,13.98,13.43,12.73,11.09,11.01,11.75,12.03,12.44,12.5,12.05,11.45,11.27,10.65,9.6,10.01,10.65,10.87,10.06,9.39,8.83,8.06,8.41,8.25,8.71,9.09,9.26,9.75,9.43,10.56,8.92,9.73,,,
United States,18.0,17.74,17.95,18.02,17.55,17.57,17.03,17.39,17.66,17.56,16.84,16.26,16.52,16.59,16.95,16.89,16.61,16.85,17.35,17.52,16.65,16.69,16.72,17.42,16.93,15.38,16.18,15.96,16.36,16.22,15.62,15.45,16.8,16.92,17.21,17.39,15.66,14.35,17.24,17.22,
