countries,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,,,,,,,,,28.43,,,,,30.89,,,,,,31.97,32.31,30.69,31.15,31.3,30.84,32.2,33.09,33.04,33.02,33.7,33.91,34.39,33.98,33.32,33.67,33.98,34.32,33.62,,,
Brazil,,,,,,,,,33.39,32.94,,33.47,34.13,33.59,34.2,34.47,,34.85,34.66,35.34,35.42,34.11,34.18,34.88,33.83,34.35,,34.53,34.45,34.5,33.76,34.94,,,,,,,,,
Canada,24.9,23.91,22.22,21.79,21.71,21.05,22.38,24.16,24.8,25.68,25.04,24.67,25.96,25.56,24.68,23.65,22.82,23.46,23.32,23.87,23.84,23.21,23.1,22.97,23.34,25.08,25.45,24.07,24.55,25.1,23.15,24.86,24.2,25.19,24.03,23.61,27.57,24.94,,,
Taiwan,,,5.52,,,,,7.33,,,,11.23,,8.93,,,9.82,,,,,11.91,,11.08,,,11.01,,,11.58,,,11.97,12.48,12.47,12.67,13.52,14.52,,,
Denmark,,,,,,,,,,,,25.74,,,,,24.1,,,,25.34,,,23.38,,,25.91,,,26.47,,29.2,28.97,28.54,28.09,28.17,28.31,27.55,26.41,,
Germany,,25.03,24.58,24.37,24.5,23.68,23.78,24.86,25.5,25.98,27.18,27.52,27.93,28.04,28.0,27.59,28.56,29.44,30.91,31.61,32.34,34.04,34.09,33.29,32.63,33.6,33.25,32.69,33.13,33.5,33.69,33.37,32.99,33.16,32.7,32.98,33.04,30.25,31.39,,
Israel,,,22.68,,,,,,22.68,,,,,25.08,,,,28.96,29.27,29.65,29.64,28.58,28.51,27.72,27.63,29.12,28.74,29.22,26.99,24.06,25.22,25.21,24.42,24.28,23.29,24.83,30.2,28.62,,,
Luxembourg,,,,,,,,,,,,,,,,,,,26.33,28.73,28.32,26.91,27.21,27.33,30.35,30.32,30.72,30.74,31.67,30.76,29.12,28.57,30.28,31.97,29.86,30.98,,24.77,23.69,26.07,
Netherlands,,,,24.39,,,22.78,,,24.99,,,,,,19.62,,,,,27.16,28.37,28.0,19.58,19.28,18.72,19.15,19.47,19.43,20.57,21.23,21.81,22.15,21.87,21.36,21.1,22.5,22.06,,,
Norway,,,18.78,,,,,21.01,,,,24.72,,,,,22.76,,,,26.12,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,29.62,29.7,27.76,27.58,29.87,32.91,34.02,34.21,36.21,38.17,37.87,37.51,36.73,34.93,34.42,34.13,37.8,34.62,31.66,,
Sweden,,,,,,,,,,,,34.29,,,,,29.48,28.67,29.22,28.18,28.59,28.89,27.87,27.5,27.17,28.4,28.4,27.18,27.08,29.23,29.5,29.14,28.43,28.18,27.83,28.39,27.86,28.22,,,
United Kingdom,25.29,26.08,27.12,27.14,25.38,26.11,25.79,27.02,29.54,30.42,31.92,31.79,31.27,29.97,30.43,30.58,29.37,29.38,29.37,29.78,29.37,29.86,29.55,29.69,30.21,31.39,32.03,31.13,31.65,31.24,30.4,30.8,30.06,29.9,29.04,28.62,29.72,30.77,,,
United States,24.49,24.25,24.24,24.76,24.58,24.37,24.27,25.37,26.24,26.63,26.38,25.46,25.27,25.13,24.96,24.58,23.81,24.64,25.46,26.22,25.87,25.7,25.11,25.69,26.47,28.78,29.31,29.48,29.44,28.64,27.85,27.22,27.64,27.41,27.08,26.71,30.59,29.35,27.26,26.83,
