countries,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,21807.0,,,,22010.0,,,,,,20206.0,,,,,,22696.0,,22959.0,25409.0,,,,31256.0,,31054.0,,,,33399.0,,32956.0,,33330.0,,34866.0,,,
Austria,,,,,,,,,,,,28636.0,28206.0,27659.0,27515.0,27654.0,28591.0,28213.0,,,29943.0,30868.0,29877.0,30047.0,31509.0,32193.0,32937.0,32717.0,32324.0,32011.0,32329.0,32397.0,32297.0,33708.0,33359.0,33224.0,34096.0,34270.0,34171.0,34736.0,
Belgium,,,20183.0,,,21051.0,,,,22357.0,,,25645.0,,25118.0,,,27003.0,,,26485.0,27262.0,27757.0,28606.0,28887.0,29458.0,29771.0,29793.0,29061.0,30226.0,29795.0,29733.0,30580.0,30322.0,30882.0,31408.0,32200.0,32700.0,33953.0,,
Canada,,24624.0,25112.0,26072.0,26398.0,27044.0,27497.0,27185.0,25955.0,26260.0,25658.0,26079.0,25922.0,24546.0,24734.0,25571.0,26123.0,26564.0,27599.0,27891.0,27884.0,28246.0,29160.0,29464.0,30645.0,31165.0,31214.0,31662.0,32070.0,32564.0,32921.0,33124.0,33732.0,33486.0,34379.0,34754.0,35179.0,37114.0,36664.0,,
Chile,,,,,,,,3373.0,,3975.0,,4543.0,,5046.0,,5336.0,,5444.0,,,5574.0,,,6465.0,,,6726.0,,7208.0,,8510.0,,9132.0,,9609.0,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,3673.0,3540.0,3706.0,3658.0,3943.0,4006.0,4226.0,4401.0,4507.0,4781.0,5169.0,5378.0,5621.0,5865.0,5965.0,5943.0,5945.0,5963.0,5794.0,5042.0,5163.0,5404.0,
Czech Republic,,,,,,,,,,10556.0,,,,12332.0,,,,,,13067.0,,14122.0,,,16959.0,,,17510.0,,,17012.0,,,19155.0,,,,,,,
Denmark,,,,,25756.0,,,,,24965.0,,,26713.0,,,,,28255.0,,,,29678.0,,,30997.0,,,31381.0,,,30354.0,,29383.0,29762.0,30142.0,30835.0,31105.0,32284.0,32722.0,31134.0,
Estonia,,,,,,,,,,,,,,,,,,6656.0,,,,8806.0,,,13612.0,,,12041.0,,,13707.0,,,18286.0,,,,,,,
Finland,,,,,20382.0,,,,22330.0,,,,19992.0,,,,,22272.0,,,,25137.0,,,27521.0,,,28185.0,,,28127.0,,,28139.0,,,,,,,
France,,20358.0,,,,,,21769.0,,,,,,22790.0,22819.0,23396.0,23670.0,24066.0,24615.0,25376.0,25281.0,25232.0,25445.0,25934.0,26278.0,26740.0,26842.0,26756.0,26595.0,26359.0,26467.0,26483.0,26642.0,26919.0,27045.0,26971.0,27351.0,27881.0,28103.0,28031.0,
