countries,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,,,,,,,25359.0,,,,,,22040.0,,,,,,24325.0,,25144.0,27542.0,,,,33349.0,,32420.0,,,,35148.0,,35219.0,,36713.0,,37460.0,,,
Austria,,,,,,,,,,,,,,,,,,,,,29311.0,29867.0,28240.0,,30293.0,31225.0,30245.0,29949.0,30072.0,29725.0,30511.0,30198.0,30280.0,31330.0,31776.0,31175.0,33023.0,31461.0,30964.0,32740.0,
Belgium,,,,,,,,,,23643.0,,,,,27866.0,,,,,,29027.0,29332.0,29915.0,30062.0,30315.0,30579.0,30219.0,29450.0,29425.0,30780.0,30108.0,29579.0,29380.0,30380.0,31779.0,31477.0,31867.0,31379.0,34993.0,,
Canada,,25842.0,26749.0,28296.0,28919.0,29908.0,30221.0,29760.0,27976.0,27783.0,26839.0,27742.0,27556.0,26438.0,26843.0,28086.0,29149.0,29953.0,30090.0,30399.0,30305.0,30594.0,31322.0,31543.0,32446.0,33103.0,32434.0,32633.0,33421.0,34174.0,34900.0,35112.0,35207.0,34428.0,35152.0,35993.0,36327.0,34767.0,36708.0,,
Czech Republic,,,,,,,,,,,,,,,,,,,,12417.0,,13592.0,,,16461.0,,,15901.0,,,15907.0,,,18747.0,,,,,,,
Denmark,,,,,,,,,,,,,32230.0,,,,,35952.0,,,,36356.0,,,39654.0,,,37661.0,,,36465.0,,39060.0,39698.0,40561.0,41328.0,41712.0,43094.0,44458.0,43144.0,
Estonia,,,,,,,,,,,,,,,,,,,,,,8578.0,,,13726.0,,,11022.0,,,12698.0,,,16835.0,,,,,,,
Finland,,,,,24092.0,,,,25495.0,,,,21713.0,,,,,25282.0,,,,28146.0,,,30861.0,,,31925.0,,,32179.0,,,32641.0,,,,,,,
Germany,30335.0,,27827.0,29056.0,30006.0,31263.0,32003.0,32785.0,29268.0,29754.0,29657.0,28982.0,29146.0,29549.0,28915.0,29652.0,30473.0,30387.0,28940.0,28994.0,28640.0,28159.0,27176.0,28104.0,28371.0,28392.0,27895.0,28256.0,28624.0,28061.0,27692.0,28738.0,29700.0,30387.0,31083.0,31932.0,32979.0,33324.0,34886.0,34303.0,
Greece,,,,,,,,,,,,,,,,,,,,,,,,20052.0,20822.0,20546.0,20687.0,17039.0,13374.0,11585.0,10536.0,10821.0,10706.0,12983.0,13531.0,14768.0,15382.0,14942.0,16302.0,,
Iceland,,,,,,,,,,,,,,,,,,,,,35409.0,36743.0,39300.0,43170.0,44832.0,43810.0,36929.0,34827.0,33006.0,35451.0,37098.0,38984.0,42361.0,46573.0,49396.0,,,,,,
