countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Urban area,,,,,,,,,,,,29401.0,,29182.0,28737.0,28763.0,30449.0,29438.0,,,29809.0,31556.0,30315.0,30216.0,31390.0,31800.0,32436.0,32838.0,31491.0,31361.0,31902.0,31881.0,31753.0,33539.0,32970.0,33123.0,33678.0,33493.0,33665.0,34406.0,
Austria,Rural area,,,,,,,,,,,,28112.0,,26934.0,26727.0,26846.0,26734.0,27319.0,,,30118.0,29843.0,29436.0,29921.0,31700.0,32677.0,33371.0,32588.0,33767.0,33072.0,33192.0,32956.0,32709.0,34024.0,33877.0,33390.0,34698.0,35024.0,34915.0,35233.0,
Belgium,Urban area,,,,,,,,,,,,,,,,,,27050.0,,,26498.0,27292.0,27724.0,28645.0,28970.0,29428.0,29819.0,29792.0,29030.0,30215.0,29911.0,29617.0,30432.0,30144.0,30837.0,31388.0,32120.0,32592.0,33919.0,,
Belgium,Rural area,,,,,,,,,,,,,,,,,,25373.0,,,26356.0,26256.0,28698.0,27663.0,27458.0,30400.0,28083.0,30427.0,29243.0,30318.0,29567.0,30337.0,31286.0,31003.0,31328.0,31749.0,32427.0,33675.0,34304.0,,
Canada,Urban area,,25514.0,26102.0,27148.0,27231.0,28163.0,28675.0,28283.0,26826.0,27164.0,26440.0,26814.0,26758.0,,,,26807.0,27185.0,28311.0,28475.0,28496.0,29063.0,29776.0,29962.0,31247.0,31764.0,31828.0,32073.0,32519.0,33001.0,33491.0,33639.0,34124.0,33766.0,34739.0,35172.0,35574.0,37469.0,37069.0,,
Canada,Rural area,,20997.0,20949.0,21486.0,22942.0,22469.0,23414.0,23061.0,22534.0,22892.0,22470.0,22313.0,22161.0,,,,21983.0,22124.0,23399.0,23443.0,23186.0,23792.0,24732.0,24953.0,25893.0,26799.0,27068.0,27541.0,28128.0,29257.0,29632.0,30100.0,30867.0,32043.0,31021.0,31291.0,31048.0,33701.0,33498.0,,
Chile,Urban area,,,,,,,,3643.0,,4347.0,,5052.0,,5594.0,,5837.0,,5924.0,,,6003.0,,,6870.0,,,7081.0,,7616.0,,8965.0,,9606.0,,10082.0,,,,,,
Chile,Rural area,,,,,,,,2382.0,,2691.0,,2672.0,,2896.0,,3004.0,,3333.0,,,3429.0,,,4256.0,,,4777.0,,5332.0,,6123.0,,6734.0,,7059.0,,,,,,
Colombia,Urban area,,,,,,,,,,,,,,,,,,,4297.0,4306.0,4425.0,4473.0,4820.0,4897.0,5305.0,5499.0,5531.0,5905.0,6305.0,6521.0,6824.0,7166.0,7188.0,7065.0,7021.0,7083.0,6970.0,5888.0,6051.0,6407.0,
Colombia,Rural area,,,,,,,,,,,,,,,,,,,2416.0,2156.0,2297.0,2162.0,2275.0,2322.0,2200.0,2299.0,2499.0,2670.0,2845.0,2871.0,3061.0,3015.0,3158.0,3285.0,3338.0,3264.0,3080.0,3088.0,3161.0,3286.0,
Czech Republic,Urban area,,,,,,,,,,,,,,,,,,,,13151.0,,14312.0,,,17164.0,,,17844.0,,,17145.0,,,18817.0,,,,,,,
Czech Republic,Rural area,,,,,,,,,,,,,,,,,,,,12942.0,,13883.0,,,16649.0,,,17003.0,,,16866.0,,,19597.0,,,,,,,
Denmark,Urban area,,,,,26286.0,,,,,25265.0,,,26919.0,,,,,28400.0,,,,29681.0,,,30870.0,,,31199.0,,,30117.0,,29338.0,29716.0,30034.0,30724.0,30907.0,32078.0,32410.0,30912.0,
Denmark,Rural area,,,,,24425.0,,,,,24522.0,,,25987.0,,,,,27788.0,,,,29665.0,,,31697.0,,,32371.0,,,31816.0,,30861.0,31153.0,31941.0,32371.0,33150.0,34264.0,34755.0,33183.0,
