countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Urban area,,,,,,,,,,,,,,,,,,,,,28993.0,31129.0,28889.0,,29497.0,29934.0,29426.0,29506.0,28660.0,28340.0,28350.0,28692.0,29314.0,30912.0,31638.0,30238.0,31668.0,29906.0,30960.0,32235.0,
Austria,Rural area,,,,,,,,,,,,,,,,,,,,,29521.0,28075.0,27262.0,,31547.0,32322.0,31689.0,30274.0,31835.0,31570.0,32251.0,31612.0,31589.0,31775.0,32285.0,31599.0,33795.0,32509.0,30988.0,33287.0,
Belgium,Urban area,,,,,,,,,,,,,,,,,,,,,29021.0,29406.0,30004.0,30199.0,30474.0,30510.0,30218.0,29450.0,29463.0,30781.0,30051.0,29243.0,29138.0,29888.0,31235.0,31331.0,31532.0,31005.0,35025.0,,
Belgium,Rural area,,,,,,,,,,,,,,,,,,,,,29243.0,27340.0,29107.0,26175.0,26443.0,32215.0,30255.0,29303.0,29282.0,30364.0,30175.0,31045.0,30773.0,33073.0,34582.0,32572.0,34007.0,33130.0,34859.0,,
Canada,Urban area,,27491.0,28378.0,30031.0,30260.0,31727.0,32052.0,31406.0,29429.0,29141.0,28139.0,29136.0,28938.0,,,,30291.0,30868.0,31376.0,31319.0,31331.0,31672.0,32290.0,32334.0,33347.0,34069.0,33192.0,33312.0,34074.0,34879.0,35478.0,35752.0,35847.0,34721.0,35796.0,36731.0,36975.0,35204.0,37349.0,,
Canada,Rural area,,19714.0,20065.0,20729.0,22662.0,21981.0,23597.0,22924.0,21839.0,21929.0,21982.0,21337.0,21197.0,,,,22184.0,22791.0,22629.0,22602.0,22543.0,23434.0,24178.0,24140.0,24964.0,26430.0,25390.0,26131.0,26608.0,28058.0,29260.0,29083.0,30158.0,31791.0,29083.0,29520.0,29657.0,30611.0,31569.0,,
Chile,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Urban area,,,,,,,,,,,,,,,,,,,,12758.0,,13828.0,,,17049.0,,,16520.0,,,16102.0,,,18320.0,,,,,,,
Czech Republic,Rural area,,,,,,,,,,,,,,,,,,,,11715.0,,13204.0,,,15570.0,,,14972.0,,,15614.0,,,19127.0,,,,,,,
Denmark,Urban area,,,,,,,,,,,,,32852.0,,,,,36334.0,,,,36439.0,,,39502.0,,,37413.0,,,36055.0,,38988.0,39561.0,40318.0,41101.0,41276.0,42595.0,43735.0,42680.0,
Denmark,Rural area,,,,,,,,,,,,,30090.0,,,,,34739.0,,,,36082.0,,,40541.0,,,39144.0,,,38617.0,,42988.0,43482.0,44874.0,45025.0,46370.0,47439.0,48850.0,46858.0,
Estonia,Urban area,,,,,,,,,,,,,,,,,,,,,,9306.0,,,14579.0,,,11466.0,,,12783.0,,,17114.0,,,,,,,
Estonia,Rural area,,,,,,,,,,,,,,,,,,,,,,6878.0,,,11922.0,,,10154.0,,,12605.0,,,16439.0,,,,,,,
Finland,Urban area,,,,,,,,,26939.0,,,,23162.0,,,,,26804.0,,,,29393.0,,,34293.0,,,35077.0,,,33413.0,,,33421.0,,,,,,,
Finland,Rural area,,,,,,,,,23258.0,,,,18032.0,,,,,20818.0,,,,23336.0,,,28932.0,,,30155.0,,,29865.0,,,31202.0,,,,,,,
France,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
