year,Canada,Germany,Luxembourg,United Kingdom,United States
1985,25860.67,25030.67,28867.0,15661.0,30356.33
1986,26156.5,25437.5,29694.25,16123.75,30595.25
1987,26424.6,25759.8,30369.4,16446.2,30811.2
1988,26839.2,26582.8,32013.6,17122.4,31086.2
1989,26815.8,26749.4,33137.4,17692.6,31101.8
1990,26788.2,26889.8,34407.2,18027.0,30867.4
1991,26511.0,26835.4,35349.6,18078.6,30576.4
1992,26227.4,26610.0,35815.6,18214.8,30291.8
1993,25974.8,26154.4,36063.2,18236.2,30327.2
1994,25693.0,26171.0,36265.8,18389.6,30484.2
1995,25387.8,25997.8,36223.0,18764.4,30793.6
1996,25370.4,26006.6,36110.0,19339.0,31451.2
1997,25379.2,26207.6,36591.6,19880.4,32190.2
1998,25507.6,26544.2,36947.2,20623.0,32843.6
1999,26118.2,26700.4,37475.4,21388.4,33378.0
2000,26749.6,27095.4,38201.4,22096.0,33814.0
2001,27212.2,27296.2,39274.2,22735.6,34033.2
2002,27636.8,27399.8,40181.8,23399.4,34018.8
2003,28156.0,27283.2,41056.6,23921.4,33990.8
2004,28529.0,27315.0,41794.8,24324.6,34050.4
2005,29079.8,27249.6,42277.4,24769.6,34142.0
2006,29736.0,27211.6,42426.8,25121.0,33993.4
2007,30329.6,27253.6,42602.6,25287.2,33979.8
2008,30830.0,27427.4,42606.6,25372.6,33863.2
2009,31351.2,27501.0,42495.8,25273.8,33631.6
2010,31735.0,27504.8,42133.6,25087.2,33384.0
2011,32086.2,27543.2,41866.4,24951.4,33310.4
2012,32468.2,27563.2,41586.6,25004.6,33093.6
2013,32882.2,27714.6,41568.8,25139.8,33195.4
2014,33165.4,28040.4,42158.6,25463.0,33832.6
2015,33528.4,28490.0,42408.2,25821.0,34482.0
2016,33895.0,29119.6,42926.4,26148.0,35441.8
2017,34306.0,29807.6,43158.6,26554.4,36928.6
2018,34982.4,30613.2,44092.0,26770.2,38541.0
2019,35618.0,31256.6,44894.4,27067.8,39746.4
2020,35927.75,31675.75,45581.5,27203.5,40566.0
2021,36319.0,32039.67,46212.33,27420.0,41445.0
