countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,One person households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Couples without children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Couples with children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Single parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,One person households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Couples without children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Couples with children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Single parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,One person households,,,,,,,,,,28072.0,,,,,20470.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Couples without children,,,,,,,,,,34372.0,,,,,27530.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Couples with children,,,,,,,,,,27637.0,,,,,33710.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Single parents,,,,,,,,,,17223.0,,,,,20274.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Other family / non-family households,,,,,,,,,,36262.0,,,,,37355.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,One person households,,,,,,,,,,,,,,,,,16335.0,16956.0,18417.0,18986.0,19234.0,19531.0,19859.0,20482.0,21630.0,21240.0,21286.0,21323.0,20816.0,23239.0,23145.0,24518.0,22386.0,22026.0,23104.0,23552.0,23527.0,22479.0,25890.0,,
Canada,Couples without children,,,,,,,,,,,,,,,,,31707.0,32581.0,33050.0,33758.0,33543.0,34340.0,35040.0,35947.0,36421.0,36353.0,36108.0,35996.0,35762.0,37712.0,38703.0,38575.0,39269.0,38531.0,39890.0,40430.0,39670.0,39050.0,41956.0,,
Canada,Couples with children,,,,,,,,,,,,,,,,,31048.0,31983.0,31857.0,32233.0,32716.0,33064.0,33055.0,32978.0,34482.0,34615.0,34343.0,35705.0,37254.0,36545.0,35792.0,37345.0,38660.0,37144.0,37306.0,38237.0,38577.0,37761.0,38921.0,,
Canada,Single parents,,,,,,,,,,,,,,,,,11321.0,13163.0,12802.0,11179.0,11627.0,12345.0,13633.0,14743.0,14339.0,16313.0,16128.0,15524.0,15570.0,14784.0,13208.0,14352.0,14156.0,13908.0,14334.0,14065.0,16931.0,14725.0,17915.0,,
Canada,Other family / non-family households,,,,,,,,,,,,,,,,,34689.0,34704.0,35534.0,35417.0,34415.0,35007.0,36715.0,37057.0,37521.0,38759.0,38496.0,36956.0,38626.0,38698.0,41321.0,38270.0,38482.0,38631.0,39958.0,40417.0,41211.0,39837.0,43136.0,,
Chile,One person households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Couples without children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Couples with children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Single parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
