countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Homewowners,,,,,,,27896.0,,,,,,24470.0,,,,,,26500.0,,27805.0,30181.0,,,,36432.0,,35565.0,,,,39077.0,,39321.0,,40628.0,,41481.0,,,
Australia,Not homeowners,,,,,,,19157.0,,,,,,14227.0,,,,,,15517.0,,17279.0,19089.0,,,,24982.0,,23350.0,,,,26827.0,,26907.0,,28055.0,,30125.0,,,
Austria,Homewowners,,,,,,,,,,,,,,,,,,,,,33232.0,32736.0,32547.0,,35876.0,37099.0,36730.0,37099.0,37249.0,36806.0,37872.0,37153.0,37997.0,38764.0,39438.0,37701.0,40137.0,40142.0,40793.0,41789.0,
Austria,Not homeowners,,,,,,,,,,,,,,,,,,,,,23516.0,25034.0,22536.0,,21605.0,22185.0,21298.0,21345.0,19351.0,20398.0,21346.0,20958.0,20312.0,22902.0,22676.0,21978.0,22859.0,21690.0,21971.0,23562.0,
Belgium,Homewowners,,,,,,,,,,25455.0,,,,,30644.0,,,,,,33618.0,35043.0,33889.0,33858.0,34219.0,34506.0,36118.0,35681.0,35137.0,37085.0,36628.0,35936.0,37141.0,36965.0,38639.0,39348.0,38777.0,39080.0,42505.0,,
Belgium,Not homeowners,,,,,,,,,,19793.0,,,,,19011.0,,,,,,16251.0,15593.0,18382.0,17980.0,19077.0,19109.0,17796.0,15637.0,15252.0,13635.0,13478.0,14108.0,14570.0,14212.0,13560.0,14559.0,14963.0,14105.0,14440.0,,
Canada,Homewowners,,29661.0,30805.0,31342.0,32374.0,33135.0,33663.0,33492.0,31769.0,31619.0,31193.0,31971.0,31844.0,31204.0,32012.0,32915.0,33677.0,34443.0,34695.0,34838.0,34908.0,35196.0,36444.0,36555.0,37725.0,38442.0,37349.0,37732.0,38949.0,40203.0,40780.0,40831.0,41415.0,40029.0,41227.0,42098.0,41794.0,40337.0,42709.0,,
Canada,Not homeowners,,17648.0,17684.0,20666.0,21381.0,21339.0,22638.0,20902.0,18931.0,17749.0,16893.0,16479.0,17442.0,13891.0,14492.0,15243.0,16768.0,17943.0,17651.0,17892.0,17108.0,16831.0,17324.0,18411.0,18537.0,19366.0,17596.0,17076.0,18646.0,18096.0,17471.0,20302.0,19015.0,20111.0,19804.0,21705.0,21750.0,19707.0,22596.0,,
Chile,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
