countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,One person households,,,,,,,,,,,,,,,,,,,,,,17125.0,,,,21453.0,,20353.0,,,,21204.0,,21094.0,,21704.0,,22862.0,,,
Australia,Couples without children,,,,,,,,,,,,,,,,,,,,,,24984.0,,,,31560.0,,31243.0,,,,33075.0,,33035.0,,33089.0,,34693.0,,,
Australia,Couples with children,,,,,,,,,,,,,,,,,,,,,,26342.0,,,,31504.0,,31505.0,,,,34286.0,,33602.0,,33987.0,,36308.0,,,
Australia,Single parents,,,,,,,,,,,,,,,,,,,,,,15099.0,,,,18209.0,,17710.0,,,,21129.0,,20193.0,,20841.0,,22504.0,,,
Australia,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,30946.0,,,,37719.0,,37709.0,,,,39118.0,,38983.0,,39584.0,,39726.0,,,
Austria,One person households,,,,,,,,,,,,22395.0,22465.0,21575.0,22723.0,23611.0,24318.0,24145.0,,,24519.0,26067.0,25048.0,24968.0,25380.0,25334.0,26559.0,25954.0,26158.0,26332.0,25949.0,26003.0,25910.0,26948.0,26549.0,27059.0,27834.0,27787.0,27124.0,26429.0,
Austria,Couples without children,,,,,,,,,,,,31705.0,31651.0,30246.0,29803.0,30263.0,30539.0,31129.0,,,31361.0,32446.0,31692.0,32215.0,32023.0,33693.0,34870.0,34744.0,34940.0,34745.0,36174.0,35923.0,36178.0,37186.0,36397.0,37245.0,37593.0,37442.0,38379.0,38869.0,
Austria,Couples with children,,,,,,,,,,,,27225.0,26544.0,25929.0,25688.0,25681.0,26947.0,27020.0,,,28058.0,28689.0,28073.0,28530.0,30898.0,30969.0,31295.0,31841.0,30803.0,30186.0,31052.0,30508.0,30947.0,31805.0,31578.0,31074.0,32317.0,33256.0,32473.0,34146.0,
Austria,Single parents,,,,,,,,,,,,19546.0,19302.0,18037.0,19942.0,18682.0,17857.0,19206.0,,,20829.0,22751.0,20303.0,20296.0,21607.0,23416.0,22915.0,23227.0,22224.0,21213.0,22317.0,21512.0,22244.0,23271.0,21030.0,23216.0,22202.0,24641.0,21418.0,21814.0,
Austria,Other family / non-family households,,,,,,,,,,,,32360.0,32941.0,32555.0,31902.0,32855.0,34090.0,32372.0,,,35555.0,36950.0,35867.0,36641.0,38844.0,39509.0,39648.0,39950.0,39473.0,38082.0,40369.0,38555.0,38478.0,40823.0,41075.0,39565.0,40720.0,39719.0,39356.0,40854.0,
Belgium,One person households,,,15741.0,,,15126.0,,,,16768.0,,,18152.0,,18910.0,,,20091.0,,,20599.0,20498.0,20467.0,20496.0,21037.0,21906.0,21843.0,21335.0,20767.0,21037.0,21239.0,21534.0,21207.0,21470.0,21621.0,22077.0,22220.0,23123.0,23363.0,,
Belgium,Couples without children,,,18736.0,,,20055.0,,,,21567.0,,,22956.0,,22960.0,,,23917.0,,,24359.0,26444.0,25992.0,28257.0,28017.0,29424.0,29464.0,28791.0,28376.0,29842.0,30590.0,31151.0,30628.0,30777.0,31565.0,32066.0,32592.0,34163.0,35015.0,,
Belgium,Couples with children,,,20642.0,,,21105.0,,,,22871.0,,,26773.0,,27073.0,,,30100.0,,,28500.0,29417.0,29772.0,31007.0,32195.0,31214.0,32627.0,32953.0,31543.0,32695.0,32734.0,32425.0,33959.0,33406.0,33388.0,34040.0,34838.0,34993.0,36781.0,,
Belgium,Single parents,,,14409.0,,,15821.0,,,,16247.0,,,16967.0,,18551.0,,,17379.0,,,16357.0,17337.0,17967.0,17567.0,16666.0,17738.0,17935.0,17897.0,17757.0,17920.0,17534.0,18747.0,18271.0,17903.0,18496.0,19322.0,20239.0,22143.0,21522.0,,
Belgium,Other family / non-family households,,,22720.0,,,23478.0,,,,25857.0,,,31260.0,,29301.0,,,33203.0,,,30234.0,31972.0,32301.0,31984.0,31539.0,34094.0,33207.0,32880.0,33496.0,35332.0,34070.0,33125.0,33713.0,33293.0,35690.0,36149.0,37496.0,38332.0,39580.0,,
Canada,One person households,,17021.0,17083.0,19474.0,19360.0,19027.0,20539.0,20017.0,19183.0,18952.0,18739.0,18258.0,19024.0,,,,17952.0,18325.0,19292.0,19759.0,20025.0,19882.0,20315.0,21017.0,21831.0,21956.0,22087.0,22153.0,21575.0,23466.0,23645.0,24113.0,23137.0,22965.0,23763.0,23946.0,24173.0,25383.0,26004.0,,
Canada,Couples without children,,28374.0,28648.0,28416.0,28551.0,29078.0,30055.0,29926.0,28441.0,29253.0,28540.0,28970.0,28421.0,,,,28644.0,29058.0,30117.0,30623.0,30260.0,31218.0,32032.0,33151.0,33863.0,33790.0,34446.0,33982.0,34171.0,35526.0,35873.0,36177.0,36482.0,36347.0,37344.0,37806.0,37254.0,38973.0,39569.0,,
Canada,Couples with children,,24784.0,25393.0,25406.0,25852.0,26374.0,26237.0,26469.0,25202.0,25821.0,24770.0,25325.0,25292.0,,,,25637.0,26253.0,27225.0,27519.0,27793.0,28133.0,28625.0,28790.0,30447.0,30661.0,30419.0,31693.0,32577.0,31972.0,31500.0,32720.0,34199.0,33256.0,34284.0,34434.0,34970.0,36486.0,35991.0,,
Canada,Single parents,,11756.0,12006.0,13215.0,12512.0,13113.0,14773.0,13367.0,12708.0,13828.0,13361.0,13492.0,13272.0,,,,14886.0,15839.0,15926.0,14954.0,14826.0,15813.0,16728.0,17795.0,17937.0,19287.0,19717.0,19748.0,19107.0,18617.0,18095.0,18247.0,19017.0,19674.0,20697.0,20314.0,22386.0,23865.0,23305.0,,
Canada,Other family / non-family households,,31257.0,31867.0,30488.0,30636.0,33051.0,33554.0,32584.0,31405.0,30598.0,30787.0,31242.0,30998.0,,,,31373.0,31121.0,32580.0,32505.0,31760.0,32629.0,33854.0,34365.0,34883.0,36696.0,36797.0,36160.0,36413.0,36567.0,38224.0,36514.0,36947.0,37341.0,37941.0,38288.0,39226.0,42583.0,41884.0,,
Chile,One person households,,,,,,,,2928.0,,3313.0,,3565.0,,3700.0,,4816.0,,5342.0,,,5178.0,,,4885.0,,,5195.0,,5729.0,,6650.0,,7280.0,,7771.0,,,,,,
Chile,Couples without children,,,,,,,,3886.0,,4449.0,,4651.0,,5632.0,,6129.0,,6556.0,,,6318.0,,,6642.0,,,6998.0,,7567.0,,8640.0,,9522.0,,9800.0,,,,,,
Chile,Couples with children,,,,,,,,2910.0,,3514.0,,4068.0,,4735.0,,4809.0,,4951.0,,,5129.0,,,6031.0,,,6358.0,,6694.0,,8248.0,,8927.0,,9613.0,,,,,,
Chile,Single parents,,,,,,,,2234.0,,2728.0,,2984.0,,3176.0,,3830.0,,3685.0,,,3640.0,,,3969.0,,,4200.0,,4206.0,,5254.0,,5663.0,,5993.0,,,,,,
Chile,Other family / non-family households,,,,,,,,3896.0,,4501.0,,5125.0,,5522.0,,5814.0,,5868.0,,,6039.0,,,6892.0,,,7278.0,,7929.0,,9156.0,,9806.0,,10229.0,,,,,,
Colombia,One person households,,,,,,,,,,,,,,,,,,,4118.0,4518.0,4518.0,4470.0,5175.0,5192.0,5334.0,5621.0,5511.0,5813.0,6070.0,6052.0,6273.0,6548.0,6421.0,6541.0,6482.0,6430.0,6337.0,5971.0,5769.0,6367.0,
Colombia,Couples without children,,,,,,,,,,,,,,,,,,,4233.0,4519.0,4642.0,4434.0,4794.0,5026.0,5511.0,5495.0,5460.0,5924.0,6315.0,6498.0,6750.0,7121.0,7172.0,6814.0,7133.0,6888.0,6809.0,6129.0,6063.0,6734.0,
Colombia,Couples with children,,,,,,,,,,,,,,,,,,,3107.0,2886.0,3074.0,3118.0,3288.0,3320.0,3674.0,3740.0,3862.0,4130.0,4431.0,4591.0,4853.0,4974.0,5056.0,4980.0,5020.0,5008.0,4809.0,4377.0,4507.0,4731.0,
Colombia,Single parents,,,,,,,,,,,,,,,,,,,2824.0,2795.0,2624.0,2736.0,2877.0,2921.0,3000.0,3021.0,3120.0,3292.0,3546.0,3574.0,3679.0,3813.0,3891.0,3940.0,4034.0,4032.0,3950.0,3210.0,3338.0,3316.0,
Colombia,Other family / non-family households,,,,,,,,,,,,,,,,,,,4213.0,4306.0,4383.0,4266.0,4613.0,4759.0,4914.0,5221.0,5326.0,5644.0,6029.0,6220.0,6569.0,6900.0,6980.0,6932.0,6909.0,6952.0,6727.0,5712.0,5960.0,6173.0,
Czech Republic,One person households,,,,,,,,,,6717.0,,,,7743.0,,,,,,9209.0,,9716.0,,,11174.0,,,11942.0,,,12131.0,,,12789.0,,,,,,,
Czech Republic,Couples without children,,,,,,,,,,9747.0,,,,11246.0,,,,,,12761.0,,13654.0,,,15424.0,,,16213.0,,,16696.0,,,18159.0,,,,,,,
Czech Republic,Couples with children,,,,,,,,,,10672.0,,,,12475.0,,,,,,12880.0,,13796.0,,,16670.0,,,17377.0,,,17273.0,,,19622.0,,,,,,,
Czech Republic,Single parents,,,,,,,,,,7686.0,,,,7526.0,,,,,,8185.0,,8582.0,,,9966.0,,,11142.0,,,11122.0,,,12409.0,,,,,,,
Czech Republic,Other family / non-family households,,,,,,,,,,12634.0,,,,14977.0,,,,,,16120.0,,17319.0,,,20372.0,,,20753.0,,,19627.0,,,22369.0,,,,,,,
Denmark,One person households,,,,,17690.0,,,,,17256.0,,,18391.0,,,,,19422.0,,,,20580.0,,,21683.0,,,21900.0,,,21848.0,,21367.0,21625.0,21809.0,22219.0,22385.0,22948.0,23025.0,22108.0,
Denmark,Couples without children,,,,,25226.0,,,,,26296.0,,,27914.0,,,,,30549.0,,,,32257.0,,,33276.0,,,33295.0,,,31531.0,,31388.0,31914.0,32342.0,33146.0,33486.0,34618.0,35213.0,33595.0,
Denmark,Couples with children,,,,,28063.0,,,,,27534.0,,,28124.0,,,,,29865.0,,,,31763.0,,,33356.0,,,34717.0,,,33769.0,,33196.0,33443.0,34026.0,34670.0,35144.0,36714.0,37148.0,35035.0,
Denmark,Single parents,,,,,20649.0,,,,,17486.0,,,18411.0,,,,,19503.0,,,,20455.0,,,21373.0,,,21812.0,,,21575.0,,21200.0,21421.0,21523.0,22248.0,22455.0,23290.0,23382.0,22105.0,
Denmark,Other family / non-family households,,,,,32884.0,,,,,32154.0,,,33205.0,,,,,34625.0,,,,35868.0,,,37387.0,,,36705.0,,,35806.0,,36994.0,37511.0,37697.0,39019.0,39069.0,40965.0,41862.0,39895.0,
