countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,One person households,,,,,,,,,,,,,,,,,,,,,,11560.0,,,,17221.0,,14136.0,,,,12874.0,,13605.0,,15680.0,,17058.0,,,
Australia,Couples without children,,,,,,,,,,,,,,,,,,,,,,26324.0,,,,34216.0,,31713.0,,,,34819.0,,34443.0,,36346.0,,37544.0,,,
Australia,Couples with children,,,,,,,,,,,,,,,,,,,,,,30300.0,,,,35009.0,,34967.0,,,,38949.0,,38254.0,,39348.0,,42275.0,,,
Australia,Single parents,,,,,,,,,,,,,,,,,,,,,,5049.0,,,,10405.0,,7060.0,,,,10560.0,,10125.0,,10131.0,,13621.0,,,
Australia,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,33075.0,,,,40056.0,,38865.0,,,,40210.0,,40779.0,,41051.0,,40763.0,,,
Austria,One person households,,,,,,,,,,,,,,,,,,,,,4667.0,7706.0,2729.0,,5776.0,4219.0,4931.0,4122.0,5541.0,5645.0,5916.0,4951.0,4550.0,6014.0,6622.0,7316.0,9198.0,6459.0,4416.0,4553.0,
Austria,Couples without children,,,,,,,,,,,,,,,,,,,,,19158.0,15548.0,13626.0,,11684.0,10957.0,10715.0,10599.0,13309.0,11580.0,13085.0,15250.0,17091.0,16284.0,19044.0,20261.0,24186.0,21372.0,23476.0,26237.0,
Austria,Couples with children,,,,,,,,,,,,,,,,,,,,,32596.0,32422.0,31889.0,,35065.0,36034.0,35321.0,34791.0,35020.0,33783.0,35907.0,35692.0,35367.0,36712.0,36130.0,35788.0,37303.0,36482.0,36077.0,37742.0,
Austria,Single parents,,,,,,,,,,,,,,,,,,,,,17374.0,18783.0,18011.0,,18979.0,21295.0,18522.0,19124.0,17488.0,17831.0,16576.0,17202.0,18915.0,18517.0,16306.0,18685.0,17699.0,18903.0,16353.0,17872.0,
Austria,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,34663.0,35198.0,33984.0,,37713.0,37622.0,37816.0,38035.0,39725.0,38970.0,41427.0,37153.0,37554.0,39706.0,41842.0,36096.0,38742.0,36671.0,38165.0,37615.0,
Belgium,One person households,,,,,,,,,,0.0,,,,,1262.0,,,,,,2076.0,1500.0,2220.0,2006.0,3204.0,3370.0,2630.0,1980.0,1577.0,1859.0,1226.0,1222.0,242.99,427.62,349.99,571.59,563.49,335.61,982.6,,
Belgium,Couples without children,,,,,,,,,,461.09,,,,,7436.0,,,,,,6500.0,8152.0,8321.0,13568.0,11952.0,13193.0,12024.0,10449.0,9014.0,9461.0,11841.0,8864.0,5297.0,6360.0,8249.0,10958.0,13388.0,11768.0,13922.0,,
Belgium,Couples with children,,,,,,,,,,27265.0,,,,,33673.0,,,,,,36873.0,37565.0,37808.0,37829.0,39231.0,37215.0,39040.0,39542.0,37523.0,39295.0,39138.0,39508.0,40473.0,40743.0,40908.0,42398.0,41555.0,42047.0,44126.0,,
Belgium,Single parents,,,,,,,,,,14802.0,,,,,16710.0,,,,,,9079.0,14166.0,14927.0,11958.0,12706.0,13786.0,13819.0,13580.0,14998.0,11983.0,12849.0,15693.0,15374.0,16179.0,13577.0,15871.0,16298.0,19168.0,19008.0,,
Belgium,Other family / non-family households,,,,,,,,,,27533.0,,,,,32334.0,,,,,,33667.0,35741.0,35299.0,33182.0,33944.0,36224.0,35047.0,33978.0,35165.0,38926.0,36360.0,32423.0,34173.0,34701.0,37621.0,35897.0,38494.0,37321.0,41309.0,,
Canada,One person households,,13274.0,14355.0,16530.0,16257.0,15511.0,18401.0,17054.0,15391.0,14349.0,13896.0,12551.0,14683.0,,,,12982.0,13165.0,14792.0,15068.0,15641.0,15596.0,16901.0,17490.0,18736.0,17828.0,17117.0,17443.0,17389.0,19813.0,19629.0,21107.0,18432.0,18192.0,18724.0,20201.0,19944.0,17932.0,21354.0,,
Canada,Couples without children,,29045.0,28964.0,29226.0,29332.0,30235.0,31270.0,31145.0,28391.0,29172.0,28566.0,29004.0,27989.0,,,,28533.0,29788.0,30327.0,31006.0,30415.0,31218.0,32268.0,33327.0,33745.0,33928.0,33051.0,32398.0,32592.0,34455.0,35335.0,35468.0,36322.0,34856.0,35534.0,36875.0,36152.0,34915.0,37517.0,,
Canada,Couples with children,,27361.0,28519.0,29066.0,29796.0,30979.0,30599.0,30765.0,29351.0,29766.0,28438.0,29311.0,29256.0,,,,31810.0,32938.0,32486.0,32849.0,33300.0,33801.0,33944.0,33139.0,34868.0,35216.0,34362.0,35685.0,37427.0,36398.0,36547.0,38052.0,39188.0,37587.0,37785.0,38783.0,38809.0,37954.0,38905.0,,
Canada,Single parents,,7659.0,8337.0,9605.0,9285.0,9273.0,11172.0,8815.0,6772.0,8450.0,6212.0,7036.0,7618.0,,,,10946.0,13114.0,12121.0,10745.0,11095.0,11997.0,12911.0,14616.0,13529.0,15757.0,15710.0,15267.0,14999.0,14818.0,12065.0,14445.0,13777.0,14219.0,13777.0,13130.0,16950.0,14428.0,16758.0,,
Canada,Other family / non-family households,,32888.0,33757.0,32422.0,32545.0,34935.0,36087.0,34298.0,32562.0,30931.0,31543.0,32153.0,32092.0,,,,33503.0,33929.0,34865.0,34593.0,33849.0,34397.0,35362.0,36131.0,36979.0,38388.0,37362.0,35515.0,37815.0,37941.0,40247.0,38045.0,37504.0,38762.0,38989.0,40323.0,41087.0,38871.0,41956.0,,
Chile,One person households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Couples without children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Couples with children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Single parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,One person households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Couples without children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Couples with children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Single parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,One person households,,,,,,,,,,,,,,,,,,,,320.93,,466.2,,,571.97,,,796.15,,,906.41,,,956.42,,,,,,,
Czech Republic,Couples without children,,,,,,,,,,,,,,,,,,,,7137.0,,6678.0,,,5594.0,,,5917.0,,,7168.0,,,8858.0,,,,,,,
Czech Republic,Couples with children,,,,,,,,,,,,,,,,,,,,14026.0,,14972.0,,,17902.0,,,18131.0,,,18414.0,,,21806.0,,,,,,,
Czech Republic,Single parents,,,,,,,,,,,,,,,,,,,,6511.0,,6917.0,,,8482.0,,,10290.0,,,10252.0,,,12597.0,,,,,,,
Czech Republic,Other family / non-family households,,,,,,,,,,,,,,,,,,,,15088.0,,16746.0,,,20215.0,,,19155.0,,,17885.0,,,21637.0,,,,,,,
Denmark,One person households,,,,,,,,,,,,,6966.0,,,,,9183.0,,,,9231.0,,,12980.0,,,9441.0,,,9021.0,,6969.0,7476.0,7750.0,8616.0,8618.0,9146.0,10039.0,11107.0,
Denmark,Couples without children,,,,,,,,,,,,,30336.0,,,,,35360.0,,,,35297.0,,,38122.0,,,34727.0,,,32253.0,,32702.0,33596.0,34406.0,35444.0,36134.0,36689.0,38630.0,38020.0,
Denmark,Couples with children,,,,,,,,,,,,,37628.0,,,,,41086.0,,,,42925.0,,,46275.0,,,46464.0,,,45899.0,,52162.0,52848.0,53932.0,54396.0,55334.0,57592.0,58596.0,55654.0,
Denmark,Single parents,,,,,,,,,,,,,15185.0,,,,,19942.0,,,,20464.0,,,22936.0,,,22984.0,,,22825.0,,24610.0,25890.0,26736.0,27017.0,27215.0,28536.0,29144.0,27821.0,
Denmark,Other family / non-family households,,,,,,,,,,,,,41392.0,,,,,43747.0,,,,43279.0,,,47724.0,,,43479.0,,,42424.0,,52022.0,53547.0,53570.0,55586.0,55525.0,58078.0,59779.0,57925.0,
Estonia,One person households,,,,,,,,,,,,,,,,,,,,,,317.75,,,1381.0,,,1409.0,,,454.97,,,2335.0,,,,,,,
Estonia,Couples without children,,,,,,,,,,,,,,,,,,,,,,5655.0,,,10608.0,,,8183.0,,,9616.0,,,15322.0,,,,,,,
Estonia,Couples with children,,,,,,,,,,,,,,,,,,,,,,11091.0,,,16918.0,,,14750.0,,,17721.0,,,19778.0,,,,,,,
Estonia,Single parents,,,,,,,,,,,,,,,,,,,,,,4887.0,,,8830.0,,,8108.0,,,10219.0,,,11474.0,,,,,,,
Estonia,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,9401.0,,,15027.0,,,11707.0,,,13620.0,,,19040.0,,,,,,,
Finland,One person households,,,,,,,,,,,,,12843.0,,,,,13380.0,,,,15076.0,,,19117.0,,,19803.0,,,19806.0,,,21372.0,,,,,,,
Finland,Couples without children,,,,,,,,,,,,,23993.0,,,,,28972.0,,,,31185.0,,,35724.0,,,35704.0,,,36908.0,,,37512.0,,,,,,,
Finland,Couples with children,,,,,,,,,,,,,23843.0,,,,,28014.0,,,,31298.0,,,33321.0,,,35118.0,,,35493.0,,,35032.0,,,,,,,
Finland,Single parents,,,,,,,,,,,,,14404.0,,,,,15416.0,,,,16020.0,,,17114.0,,,20354.0,,,17659.0,,,14990.0,,,,,,,
Finland,Other family / non-family households,,,,,,,,,,,,,23865.0,,,,,28710.0,,,,32210.0,,,36119.0,,,37461.0,,,38226.0,,,39673.0,,,,,,,
France,One person households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Couples without children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Couples with children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Single parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Other family / non-family households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
