countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Homewowners,,,22651.0,,,,23448.0,,,,,,21599.0,,,,,,24363.0,,24598.0,27031.0,,,,33337.0,,33201.0,,,,35713.0,,35430.0,,36337.0,,37180.0,,,
Australia,Not homeowners,,,18710.0,,,,18308.0,,,,,,16203.0,,,,,,18131.0,,18842.0,20780.0,,,,26242.0,,26037.0,,,,28767.0,,27996.0,,28138.0,,30407.0,,,
Austria,Homewowners,,,,,,,,,,,,29852.0,29585.0,28883.0,28821.0,28933.0,30686.0,29528.0,,,32736.0,33131.0,32799.0,33057.0,35254.0,35986.0,37537.0,37633.0,37257.0,36527.0,37141.0,36936.0,36960.0,38685.0,37958.0,37380.0,38341.0,39354.0,39459.0,40129.0,
Austria,Not homeowners,,,,,,,,,,,,26766.0,26306.0,25326.0,25426.0,25513.0,26148.0,25499.0,,,25797.0,27557.0,25977.0,26197.0,26010.0,27107.0,27166.0,27966.0,26535.0,26479.0,26675.0,26573.0,26590.0,28284.0,28360.0,28452.0,28870.0,28260.0,27878.0,28557.0,
Belgium,Homewowners,,,21333.0,,,22197.0,,,,23496.0,,,27359.0,,27486.0,,,28982.0,,,28614.0,29758.0,29901.0,31069.0,31498.0,32487.0,33026.0,33001.0,32460.0,33749.0,33854.0,33304.0,34400.0,33645.0,34456.0,35095.0,35951.0,36366.0,37771.0,,
Belgium,Not homeowners,,,17802.0,,,18793.0,,,,19950.0,,,19857.0,,20382.0,,,20329.0,,,20581.0,20441.0,21022.0,21161.0,21550.0,22080.0,21279.0,20762.0,20156.0,20651.0,19941.0,20557.0,20999.0,20474.0,20871.0,22248.0,22671.0,23807.0,23549.0,,
Canada,Homewowners,,27243.0,27996.0,28202.0,28821.0,29107.0,29960.0,29762.0,28607.0,28853.0,28389.0,28675.0,28609.0,27411.0,27726.0,28520.0,29070.0,29464.0,30540.0,31199.0,30881.0,31504.0,32575.0,32886.0,34068.0,35010.0,35149.0,35096.0,35720.0,36614.0,37312.0,37639.0,37862.0,37667.0,38712.0,38881.0,39033.0,40969.0,40926.0,,
Canada,Not homeowners,,19022.0,18876.0,21000.0,21333.0,21357.0,22438.0,21540.0,20572.0,20126.0,19334.0,19151.0,19519.0,17312.0,17436.0,18105.0,18660.0,19109.0,19554.0,19641.0,18923.0,19369.0,19822.0,20200.0,20929.0,21747.0,21220.0,21424.0,21873.0,21235.0,21252.0,22688.0,22247.0,22734.0,23298.0,24215.0,24452.0,27228.0,27764.0,,
Chile,Homewowners,,,,,,,,3687.0,,4174.0,,4752.0,,5200.0,,5396.0,,5509.0,,,5623.0,,,6624.0,,,6955.0,,7596.0,,8820.0,,9451.0,,9891.0,,,,,,
Chile,Not homeowners,,,,,,,,2890.0,,3608.0,,4017.0,,4747.0,,5169.0,,5298.0,,,5451.0,,,6012.0,,,6196.0,,6617.0,,7966.0,,8626.0,,9151.0,,,,,,
Colombia,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,4440.0,4671.0,4863.0,5194.0,5591.0,5848.0,6198.0,6423.0,6498.0,6506.0,6355.0,6613.0,6497.0,5806.0,5997.0,6674.0,
