countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Homewowners,,,,,,,,,,31721.0,,,,,34453.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Not homeowners,,,,,,,,,,26084.0,,,,,23495.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Homewowners,,,,,,,,,,,,,,31927.0,32503.0,33615.0,34077.0,34700.0,35050.0,35549.0,35306.0,35957.0,36866.0,37119.0,38145.0,39049.0,38391.0,38649.0,39615.0,40781.0,41380.0,41725.0,41952.0,41010.0,42295.0,42946.0,42640.0,41775.0,44141.0,,
Canada,Not homeowners,,,,,,,,,,,,,,16045.0,15953.0,16930.0,17761.0,18735.0,18786.0,19224.0,18163.0,18127.0,18779.0,19332.0,19636.0,20689.0,19334.0,19307.0,20135.0,19506.0,19348.0,21253.0,20132.0,20843.0,20720.0,22615.0,22825.0,21470.0,25175.0,,
Chile,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,4525.0,4749.0,4915.0,5284.0,5697.0,6013.0,6364.0,6616.0,6684.0,6712.0,6554.0,6850.0,6747.0,6110.0,6281.0,6986.0,
Colombia,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,3964.0,4101.0,4175.0,4395.0,4780.0,4962.0,5160.0,5406.0,5522.0,5485.0,5579.0,5510.0,5346.0,4575.0,4739.0,4786.0,
Czech Republic,Homewowners,,,,,,,,,,,,,,,,,,,,,,15748.0,,,18291.0,,,18500.0,,,18159.0,,,20933.0,,,,,,,
Czech Republic,Not homeowners,,,,,,,,,,,,,,,,,,,,,,12026.0,,,14362.0,,,15049.0,,,13832.0,,,15370.0,,,,,,,
Denmark,Homewowners,,,,,39660.0,,,,,41039.0,,,,,,,,,,,,45744.0,,,,,,,,,,,52681.0,53575.0,54459.0,55220.0,55915.0,58280.0,58974.0,56271.0,
Denmark,Not homeowners,,,,,27126.0,,,,,25370.0,,,,,,,,,,,,20823.0,,,,,,,,,,,22231.0,22797.0,23595.0,24417.0,24964.0,26150.0,27743.0,27076.0,
Estonia,Homewowners,,,,,,,,,,,,,,,,,,,,,,9812.0,,,,,,,,,,,,,,,,,,,
Estonia,Not homeowners,,,,,,,,,,,,,,,,,,,,,,6120.0,,,,,,,,,,,,,,,,,,,
Finland,Homewowners,,,,,25829.0,,,,27896.0,,,,25010.0,,,,,29843.0,,,,32953.0,,,35295.0,,,35584.0,,,36221.0,,,36517.0,,,,,,,
Finland,Not homeowners,,,,,18967.0,,,,19890.0,,,,15638.0,,,,,18091.0,,,,19602.0,,,19938.0,,,18988.0,,,19480.0,,,19661.0,,,,,,,
France,Homewowners,,,,,,,,,,,,,,31240.0,32263.0,34084.0,34486.0,35332.0,35747.0,36445.0,36839.0,36805.0,36893.0,37800.0,38578.0,38981.0,39397.0,39840.0,40182.0,39905.0,,,,,,,,,43780.0,43609.0,
France,Not homeowners,,,,,,,,,,,,,,19283.0,19562.0,21297.0,20872.0,21349.0,21720.0,22435.0,22409.0,22087.0,22321.0,22130.0,22565.0,22863.0,23001.0,22625.0,21959.0,21744.0,,,,,,,,,23677.0,23713.0,
Germany,Homewowners,35816.0,30108.0,30705.0,32278.0,33104.0,33895.0,35194.0,35894.0,33801.0,33925.0,33076.0,33056.0,33764.0,33132.0,32373.0,33675.0,34511.0,34587.0,32501.0,34284.0,33660.0,33518.0,32948.0,33519.0,33947.0,33855.0,34208.0,34793.0,34778.0,35180.0,35418.0,35757.0,36824.0,38455.0,38744.0,40373.0,41740.0,42658.0,43273.0,42877.0,
Germany,Not homeowners,25633.0,24035.0,24480.0,24998.0,25867.0,27178.0,27411.0,28085.0,25121.0,25911.0,25817.0,24914.0,25520.0,25147.0,24638.0,24945.0,25378.0,25682.0,24804.0,25097.0,24400.0,24448.0,23154.0,23141.0,23341.0,23287.0,22806.0,23141.0,23104.0,22686.0,22543.0,22826.0,24034.0,24021.0,24544.0,24917.0,26458.0,28236.0,28577.0,27872.0,
Greece,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Homewowners,,,,,13641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Not homeowners,,,,,6780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Homewowners,,,,,,,,,,16093.0,,,,,15460.0,,,,16224.0,14974.0,14777.0,15580.0,15712.0,16058.0,17208.0,16962.0,17082.0,17376.0,17644.0,18390.0,20058.0,21266.0,21896.0,21831.0,23914.0,24124.0,22773.0,21694.0,23112.0,,
Israel,Not homeowners,,,,,,,,,,10894.0,,,,,9148.0,,,,11107.0,8684.0,9665.0,9943.0,11372.0,11484.0,13411.0,14246.0,12163.0,13661.0,12994.0,15305.0,15863.0,15889.0,16892.0,17428.0,18228.0,20399.0,19268.0,16793.0,17932.0,,
Italy,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Homewowners,,,,,,,,,,,30019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Not homeowners,,,,,,,,,,,18248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Homewowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Not homeowners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Homewowners,,,,,,,,,,,,,,,,,,28290.0,29086.0,29662.0,,31294.0,31618.0,32504.0,33996.0,34152.0,35272.0,34949.0,36499.0,37317.0,36558.0,37484.0,38507.0,39537.0,40169.0,40108.0,40490.0,40695.0,40794.0,,
Sweden,Not homeowners,,,,,,,,,,,,,,,,,,19554.0,20348.0,20120.0,,21628.0,21601.0,21947.0,22699.0,23292.0,23048.0,21364.0,22065.0,22442.0,21428.0,20948.0,21609.0,23114.0,22523.0,22688.0,22382.0,22666.0,23307.0,,
Switzerland,Homewowners,,,,,,,,,,39065.0,,,,,,,,38880.0,,40488.0,,38870.0,,42302.0,42167.0,42864.0,43617.0,44192.0,45211.0,46253.0,44199.0,44801.0,45193.0,45582.0,46601.0,45107.0,45224.0,44981.0,46132.0,45836.0,
Switzerland,Not homeowners,,,,,,,,,,32461.0,,,,,,,,32745.0,,34268.0,,33596.0,,33462.0,34115.0,34934.0,34477.0,34126.0,36334.0,36938.0,34184.0,35101.0,33960.0,34625.0,34756.0,34526.0,35318.0,35106.0,35937.0,34634.0,
United Kingdom,Homewowners,18771.0,19483.0,20276.0,21024.0,21803.0,23026.0,24157.0,24337.0,24538.0,23920.0,23526.0,24042.0,24331.0,25624.0,25961.0,26990.0,27143.0,28730.0,29226.0,29577.0,29629.0,30768.0,31103.0,31453.0,32455.0,31954.0,31588.0,31299.0,30719.0,30929.0,31067.0,32074.0,32466.0,32610.0,32809.0,32980.0,33739.0,31656.0,32808.0,,
United Kingdom,Not homeowners,10279.0,10014.0,9632.0,9740.0,9994.0,10409.0,10000.0,10653.0,9800.0,9142.0,8302.0,8196.0,7976.0,8226.0,9019.0,8679.0,9091.0,9574.0,10391.0,10888.0,11057.0,11433.0,11770.0,12587.0,12693.0,13091.0,12589.0,12253.0,13113.0,12563.0,13159.0,13684.0,14237.0,14983.0,14637.0,16107.0,17464.0,14801.0,15777.0,,
United States,Homewowners,35979.0,37264.0,37950.0,39326.0,40195.0,40415.0,40954.0,39945.0,39484.0,39301.0,39019.0,39521.0,39794.0,40290.0,41247.0,42717.0,43509.0,43635.0,43370.0,43051.0,43273.0,42603.0,43404.0,43793.0,44153.0,42959.0,43058.0,43055.0,43069.0,43172.0,42464.0,43923.0,45943.0,46689.0,47316.0,47731.0,50474.0,49555.0,49374.0,47595.0,
United States,Not homeowners,20685.0,21571.0,21740.0,22381.0,22076.0,22498.0,22946.0,22002.0,21155.0,20590.0,20064.0,20816.0,20798.0,20870.0,21897.0,22190.0,23140.0,23987.0,23258.0,22787.0,21750.0,21585.0,21752.0,22458.0,22761.0,21743.0,21104.0,20707.0,20820.0,21380.0,21879.0,22279.0,23877.0,25413.0,25754.0,26192.0,27554.0,27494.0,27103.0,27299.0,
