countries,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Belgium,,,,,,,,,,29946.0,,,,,30936.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,27576.0,27713.0,28917.0,29761.0,30358.0,30725.0,31002.0,30760.0,31224.0,31865.0,32138.0,33156.0,33741.0,33443.0,33635.0,34696.0,35042.0,35626.0,35849.0,36166.0,35686.0,36149.0,37059.0,37173.0,36095.0,38658.0,,
Colombia,,,,,,,,,,,,,,,,,,,3673.0,3540.0,3706.0,3658.0,3943.0,4006.0,4191.0,4373.0,4476.0,4759.0,5152.0,5358.0,5611.0,5838.0,5945.0,5919.0,5914.0,5943.0,5755.0,4978.0,5092.0,5361.0,
Czech Republic,,,,,,,,,,,,,,,,,,,,13391.0,,14746.0,,,17445.0,,,17740.0,,,17194.0,,,19777.0,,,,,,,
Denmark,,,,,35670.0,,,,,36099.0,,,35842.0,,,,,37813.0,,,,39392.0,,,,,,,,,,,41263.0,41837.0,42602.0,43266.0,43537.0,45252.0,46271.0,44525.0,
Estonia,,,,,,,,,,,,,,,,,,,,,,9458.0,,,,,,,,,,,,,,,,,,,
Finland,,,,,24033.0,,,,25921.0,,,,22527.0,,,,,26453.0,,,,29688.0,,,31608.0,,,31935.0,,,32145.0,,,32241.0,,,,,,,
France,,,,,,,,,,,,,,26041.0,26661.0,28355.0,28440.0,29099.0,29838.0,30827.0,30730.0,30740.0,31111.0,31474.0,32264.0,32441.0,32761.0,32709.0,32760.0,32660.0,32805.0,32902.0,33135.0,33408.0,33709.0,34089.0,34820.0,34830.0,35781.0,36086.0,
Germany,30736.0,26813.0,26959.0,27953.0,28685.0,30134.0,30658.0,31505.0,28769.0,29291.0,29249.0,28439.0,29099.0,28754.0,28280.0,29012.0,29553.0,29696.0,28386.0,29215.0,29165.0,28734.0,27914.0,28016.0,28522.0,28714.0,28987.0,28978.0,29020.0,28996.0,29035.0,29444.0,30467.0,31411.0,31833.0,33290.0,34214.0,35428.0,35580.0,35085.0,
Ireland,,,,,12104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,12704.0,,,,,,14790.0,,,,,13894.0,,,,14969.0,13364.0,13446.0,14274.0,14643.0,14835.0,16139.0,16130.0,15883.0,16456.0,16298.0,17394.0,18869.0,19610.0,20363.0,20635.0,21964.0,23041.0,21698.0,20441.0,21166.0,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,20934.0,,21150.0,,21708.0,,23106.0,,23907.0,,,,,,,,,
Netherlands,,,,,,,,,,,24627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,25321.0,25985.0,26323.0,,27364.0,27633.0,28327.0,29366.0,29657.0,29867.0,29842.0,30485.0,30805.0,31757.0,32376.0,33226.0,34490.0,34218.0,34057.0,34558.0,35044.0,35046.0,,
Switzerland,,,,,,,,,,34412.0,,,,,,,,34831.0,,36881.0,,35460.0,,36906.0,37581.0,37732.0,38190.0,38535.0,39422.0,40932.0,38076.0,39268.0,38534.0,39071.0,39431.0,38766.0,38872.0,38783.0,39440.0,38979.0,
United Kingdom,15574.0,16062.0,16429.0,17110.0,17758.0,19058.0,19542.0,19926.0,20270.0,19485.0,18994.0,19258.0,19633.0,20672.0,21264.0,22098.0,22533.0,23760.0,24493.0,24616.0,24851.0,25765.0,25789.0,26384.0,26849.0,26385.0,25561.0,25508.0,25058.0,24933.0,25232.0,25773.0,26156.0,26568.0,26770.0,27129.0,28168.0,26894.0,27430.0,,
United States,31137.0,32228.0,32580.0,33793.0,34695.0,34516.0,34971.0,33943.0,33264.0,33082.0,32433.0,33016.0,33606.0,33978.0,34993.0,36198.0,37126.0,37465.0,37075.0,36574.0,36435.0,36083.0,36371.0,36878.0,37230.0,35956.0,35338.0,35078.0,34957.0,35256.0,35007.0,35735.0,37536.0,38819.0,39223.0,40054.0,42786.0,41635.0,41770.0,40816.0,
