countries,decomposition,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Urban area,,,,,,,,,,,,,,,,,30723.0,31292.0,31677.0,31829.0,31738.0,32240.0,32653.0,32978.0,33968.0,34358.0,34199.0,34304.0,35312.0,35603.0,36149.0,36356.0,36606.0,35914.0,36759.0,37627.0,37912.0,36359.0,39128.0,,
Canada,Rural area,,,,,,,,,,,,,,,,,23497.0,23591.0,24559.0,24731.0,24342.0,25361.0,26362.0,26479.0,26782.0,28240.0,28165.0,28322.0,28889.0,30895.0,31395.0,31665.0,32558.0,34437.0,31960.0,32368.0,31501.0,33177.0,33956.0,,
Chile,Urban area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Rural area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Urban area,,,,,,,,,,,,,,,,,,,4297.0,4306.0,4425.0,4473.0,4820.0,4897.0,5328.0,5525.0,5531.0,5899.0,6326.0,6552.0,6842.0,7169.0,7182.0,7073.0,6989.0,7081.0,6938.0,5922.0,6079.0,6444.0,
Colombia,Rural area,,,,,,,,,,,,,,,,,,,2416.0,2156.0,2297.0,2162.0,2275.0,2322.0,2200.0,2299.0,2488.0,2669.0,2836.0,2859.0,3036.0,3000.0,3145.0,3242.0,3305.0,3224.0,3066.0,3071.0,3125.0,3261.0,
Czech Republic,Urban area,,,,,,,,,,,,,,,,,,,,13618.0,,14921.0,,,17733.0,,,18290.0,,,17289.0,,,19310.0,,,,,,,
Czech Republic,Rural area,,,,,,,,,,,,,,,,,,,,13078.0,,14376.0,,,16933.0,,,17029.0,,,16974.0,,,20467.0,,,,,,,
Denmark,Urban area,,,,,36875.0,,,,,37342.0,,,36331.0,,,,,38205.0,,,,39494.0,,,,,,,,,,,41248.0,41795.0,42431.0,43119.0,43195.0,44877.0,45653.0,44166.0,
Denmark,Rural area,,,,,33159.0,,,,,33746.0,,,33709.0,,,,,36685.0,,,,39028.0,,,,,,,,,,,44355.0,45004.0,46179.0,46308.0,47474.0,48877.0,49999.0,47757.0,
Estonia,Urban area,,,,,,,,,,,,,,,,,,,,,,10233.0,,,,,,,,,,,,,,,,,,,
Estonia,Rural area,,,,,,,,,,,,,,,,,,,,,,7851.0,,,,,,,,,,,,,,,,,,,
Finland,Urban area,,,,,,,,,27242.0,,,,23781.0,,,,,27677.0,,,,30773.0,,,33838.0,,,34577.0,,,33203.0,,,33029.0,,,,,,,
Finland,Rural area,,,,,,,,,23833.0,,,,19442.0,,,,,22784.0,,,,25664.0,,,30002.0,,,30392.0,,,30104.0,,,30813.0,,,,,,,
France,Urban area,,,,,,,,,,,,,,26686.0,27151.0,28983.0,29107.0,29691.0,30369.0,31650.0,31212.0,31198.0,31601.0,31827.0,32501.0,32634.0,33011.0,32998.0,32896.0,32889.0,32821.0,32843.0,33016.0,33425.0,33603.0,33749.0,34566.0,34737.0,35617.0,35827.0,
France,Rural area,,,,,,,,,,,,,,24522.0,25597.0,27121.0,27117.0,27936.0,28745.0,29125.0,29628.0,29779.0,30306.0,30676.0,31758.0,32035.0,32113.0,31939.0,32513.0,32181.0,32746.0,33028.0,33346.0,33335.0,34026.0,34833.0,35409.0,35088.0,36172.0,36762.0,
